Número da OS;Mina;Complexo Mineiro;Estrutura;Local de Instalação;Código do Instrumento;Tipo de Instrumento;Subtipo de Instrumento;Origem da Medição;Tipo de Coleta;Tipo de Medição;Situação da Medição;Justificativa de não Medição;Condição Adversa;Observação;Sensor;Data de Medição;Hora da Medição;Outlier;Grandeza física;Valor;Unidade de Medida;Leitura;Unidade de Medida (X)
281051;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;21/01/2021;10:03;;Vazão;1,32972;LPS;4,787;MCH
282489;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;27/01/2021;09:31;;Vazão;1,34222;LPS;4,832;MCH
283695;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;03/02/2021;10:06;;Vazão;1,2625;LPS;4,545;MCH
285317;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Acumulado próximo dia;;;;12/02/2021;08:05;;;;;;
288121;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Histórico;;O.S Duplicada.;;24/02/2021;09:25;;;;;;
289485;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;25/02/2021;09:31;;Vazão;1,29361;LPS;4,657;MCH
291023;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;05/03/2021;09:28;;Vazão;1,27694;LPS;4,597;MCH
292500;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;11/03/2021;09:51;;Vazão;1,32972;LPS;4,787;MCH
293781;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Veículo em Manutenção;;;;19/03/2021;15:27;;;;;;
295201;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Acumulado próximo dia;;;;25/03/2021;13:32;;;;;;
296477;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;01/04/2021;09:21;;Vazão;1,43861;LPS;5,179;MCH
298150;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;08/04/2021;09:39;;Vazão;1,45556;LPS;5,24;MCH
299334;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;15/04/2021;09:42;;Vazão;1,355;LPS;4,878;MCH
300740;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;23/04/2021;09:43;;Vazão;1,26556;LPS;4,556;MCH
301905;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Equipe reduzida - COVID-19;;;;03/05/2021;09:34;;;;;;
304013;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Acumulado próximo dia;;;;07/05/2021;14:57;;;;;;
305301;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;13/05/2021;09:28;;Vazão;1,56472;LPS;5,633;MCH
306674;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;20/05/2021;09:22;;Vazão;1,52417;LPS;5,487;MCH
307886;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;27/05/2021;09:15;;Vazão;1,55278;LPS;5,59;MCH
309224;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;EQUIPE NÃO AUTORIZADA;;Problemas com crachá na cancela de CMT;;02/06/2021;13:30;;;;;;
310847;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;11/06/2021;10:50;;Vazão;1,27861;LPS;4,603;MCH
313437;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;24/06/2021;09:50;;Vazão;1,54556;LPS;5,564;MCH
