Número da OS;Mina;Complexo Mineiro;Estrutura;Local de Instalação;Código do Instrumento;Tipo de Instrumento;Subtipo de Instrumento;Origem da Medição;Tipo de Coleta;Tipo de Medição;Situação da Medição;Justificativa de não Medição;Condição Adversa;Observação;Sensor;Data de Medição;Hora da Medição;Outlier;Grandeza física;Valor;Unidade de Medida;Leitura;Unidade de Medida (X)
14087;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTMO010;Medidor de Vazão;Medição Direta;WEB;Manual;;Realizada;;;Medição realizada com recipiente aferido.;Padrão;05/02/2009;09:00;;Vazão;0,17;LPS;0,612;MCH
23438;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTMO010;Medidor de Vazão;Medição Direta;WEB;Automatizada;;Realizada;;;Leitura direta;Padrão;18/02/2009;00:00;;Vazão;0,16833;LPS;0,606;MCH
17404;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTMO010;Medidor de Vazão;Medição Direta;WEB;Manual;;Realizada;;;Medição efetuada pela equipe da Engecaf com a utilização de recipiente graduado;Padrão;02/03/2009;00:00;;Vazão;0,21722;LPS;0,782;MCH
15537;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTMO010;Medidor de Vazão;Medição Direta;WEB;Automatizada;;Não Realizada;;;Já lançado em OS especial;;18/04/2009;00:00;;;;;;
25355;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTMO010;Medidor de Vazão;Medição Direta;WEB;Automatizada;;Realizada;;;Leitura efetuada pela engecaf com balde e becker graduado.;Padrão;18/06/2009;00:00;;Vazão;0,23056;LPS;0,83;MCH
27019;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTMO010;Medidor de Vazão;Medição Direta;WEB;Automatizada;;Realizada;;;Medido com recipientes graduados.;Padrão;06/07/2009;00:00;;Vazão;0,2;LPS;0,72;MCH
27836;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTMO010;Medidor de Vazão;Medição Direta;WEB;Automatizada;;Realizada;;;Medição efetuada pela equipe da Engecaf com o uso de vasilhame graduado.;Padrão;04/08/2009;00:00;;Vazão;0,21389;LPS;0,77;MCH
28704;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTMO010;Medidor de Vazão;Medição Direta;WEB;Automatizada;;Realizada;;;Realizado com recipiente graduado.;Padrão;01/09/2009;00:00;;Vazão;0,19167;LPS;0,69;MCH
29258;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTMO010;Medidor de Vazão;Medição Direta;WEB;Automatizada;;Realizada;;;.;Padrão;19/10/2009;01:00;;Vazão;0,18444;LPS;0,664;MCH
30060;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTMO010;Medidor de Vazão;Medição Direta;WEB;Automatizada;;Realizada;;;.;Padrão;18/11/2009;00:00;;Vazão;0,16917;LPS;0,609;MCH
