Número da OS;Mina;Complexo Mineiro;Estrutura;Local de Instalação;Código do Instrumento;Tipo de Instrumento;Subtipo de Instrumento;Origem da Medição;Tipo de Coleta;Tipo de Medição;Situação da Medição;Justificativa de não Medição;Condição Adversa;Observação;Sensor;Data de Medição;Hora da Medição;Outlier;Grandeza física;Valor;Unidade de Medida;Coordenada Norte (Y);Unidade de Medida (X);Coordenada Leste (X);Unidade de Medida (Z);Cota (Z);Unidade de Medida (AB)
70371;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;22/06/2013;01:00;;Vetor Deslocamento;0,06998;m;7.775.776,427;m;612.783,804;m;1.445,86;m
71159;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Não Realizada;;;Topógrafo de férias.;;07/07/2013;00:00;;;;;;;;;;
71727;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;07/08/2013;00:00;;Vetor Deslocamento;0,07840;m;7.775.776,426;m;612.783,804;m;1.445,851;m
72383;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;08/08/2013;00:00;;Vetor Deslocamento;0,07925;m;7.775.776,425;m;612.783,804;m;1.445,85;m
73649;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;05/09/2013;00:00;;Vetor Deslocamento;0,07910;m;7.775.776,426;m;612.783,803;m;1.445,85;m
72651;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;12/09/2013;00:00;;Vetor Deslocamento;0,07840;m;7.775.776,426;m;612.783,804;m;1.445,851;m
74879;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;05/10/2013;00:00;;Vetor Deslocamento;0,06542;m;7.775.776,423;m;612.783,803;m;1.445,864;m
73824;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;09/10/2013;00:00;;Vetor Deslocamento;0,06616;m;7.775.776,424;m;612.783,805;m;1.445,864;m
75001;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;20/10/2013;01:00;;Vetor Deslocamento;0,06587;m;7.775.776,42;m;612.783,802;m;1.445,863;m
75796;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;05/11/2013;00:00;;Vetor Deslocamento;0,07106;m;7.775.776,417;m;612.783,8;m;1.445,857;m
76555;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;16/12/2013;00:00;;Vetor Deslocamento;0,07284;m;7.775.776,414;m;612.783,799;m;1.445,855;m
76962;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;03/01/2014;00:00;;Vetor Deslocamento;0,07551;m;7.775.776,416;m;612.783,798;m;1.445,852;m
13890;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;10/01/2014;00:00;;Vetor Deslocamento;0,07399;m;7.775.776,418;m;612.783,8;m;1.445,854;m
77948;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;20/01/2014;00:00;;Vetor Deslocamento;0,07376;m;7.775.776,417;m;612.783,799;m;1.445,854;m
78492;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;05/02/2014;00:00;;Vetor Deslocamento;0,07181;m;7.775.776,418;m;612.783,799;m;1.445,856;m
